DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1FIPS,ADM1FIPSNA,ADM1SALBNA,ADM1SALBCO,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,dhsid_2,dhscc_2,dhsyear_2,dhsclust_2,ccfips_2,adm1fips_2,adm1fipsna_2,adm1salbna_2,adm1salbco_2,adm1dhs_2,adm1name_2,dhsregco_2,dhsregna_2,source_2,urban_rura_2,latnum_2,longnum_2,alt_gps_2,alt_dem_2,datum_2
CI201200000049,CI,2012.000000,49.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,7.000000,Nord-Ouest,GPS,R,9.280311,-7.063672,9999.000000,404.000000,WGS84,CI201200000049,CI,2012,49,IV,NULL,NULL,NULL,NULL,9999,NULL,7,Nord-Ouest,GPS,R,9.280311,-7.063672,9999,404,WGS84
CI201200000050,CI,2012.000000,50.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,5.000000,Nord,GPS,R,9.188715,-5.571598,9999.000000,350.000000,WGS84,CI201200000050,CI,2012,50,IV,NULL,NULL,NULL,NULL,9999,NULL,5,Nord,GPS,R,9.188715,-5.571598,9999,350,WGS84
CI201200000051,CI,2012.000000,51.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,3.000000,Centre-Nord,GPS,U,7.746292,-5.014304,9999.000000,322.000000,WGS84,CI201200000051,CI,2012,51,IV,NULL,NULL,NULL,NULL,9999,NULL,3,Centre-Nord,GPS,U,7.746292,-5.014304,9999,322,WGS84
CI201200000052,CI,2012.000000,52.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,5.000000,Nord,GPS,U,10.475819,-6.390511,9999.000000,363.000000,WGS84,CI201200000052,CI,2012,52,IV,NULL,NULL,NULL,NULL,9999,NULL,5,Nord,GPS,U,10.475819,-6.390511,9999,363,WGS84
CI201200000053,CI,2012.000000,53.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,9.000000,Sud sans Abidjan,GPS,R,5.443626,-5.603337,9999.000000,113.000000,WGS84,CI201200000053,CI,2012,53,IV,NULL,NULL,NULL,NULL,9999,NULL,9,Sud sans Abidjan,GPS,R,5.443626,-5.603337,9999,113,WGS84
CI201200000054,CI,2012.000000,54.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,8.000000,Ouest,GPS,U,7.396489,-7.579535,9999.000000,329.000000,WGS84,CI201200000054,CI,2012,54,IV,NULL,NULL,NULL,NULL,9999,NULL,8,Ouest,GPS,U,7.396489,-7.579535,9999,329,WGS84
CI201200000055,CI,2012.000000,55.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,11.000000,Ville D'Abidjan,GPS,U,5.344163,-4.029635,9999.000000,43.000000,WGS84,CI201200000055,CI,2012,55,IV,NULL,NULL,NULL,NULL,9999,NULL,11,Ville D'Abidjan,GPS,U,5.344163,-4.029635,9999,43,WGS84
CI201200000056,CI,2012.000000,56.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,2.000000,Centre-Est,GPS,R,6.161920,-3.265305,9999.000000,167.000000,WGS84,CI201200000056,CI,2012,56,IV,NULL,NULL,NULL,NULL,9999,NULL,2,Centre-Est,GPS,R,6.16192,-3.265305,9999,167,WGS84
CI201200000057,CI,2012.000000,57.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,10.000000,Sud-Ouest,GPS,R,5.358413,-7.321641,9999.000000,124.000000,WGS84,CI201200000057,CI,2012,57,IV,NULL,NULL,NULL,NULL,9999,NULL,10,Sud-Ouest,GPS,R,5.358413,-7.321641,9999,124,WGS84
CI201200000058,CI,2012.000000,58.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,11.000000,Ville D'Abidjan,GPS,U,5.358759,-4.074572,9999.000000,55.000000,WGS84,CI201200000058,CI,2012,58,IV,NULL,NULL,NULL,NULL,9999,NULL,11,Ville D'Abidjan,GPS,U,5.358759,-4.074572,9999,55,WGS84
CI201200000059,CI,2012.000000,59.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,3.000000,Centre-Nord,GPS,R,8.359189,-4.345620,9999.000000,226.000000,WGS84,CI201200000059,CI,2012,59,IV,NULL,NULL,NULL,NULL,9999,NULL,3,Centre-Nord,GPS,R,8.359189,-4.34562,9999,226,WGS84
CI201200000060,CI,2012.000000,60.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,3.000000,Centre-Nord,GAZ,U,7.702682,-5.031066,9999.000000,353.000000,WGS84,CI201200000060,CI,2012,60,IV,NULL,NULL,NULL,NULL,9999,NULL,3,Centre-Nord,GAZ,U,7.702682,-5.031066,9999,353,WGS84
CI201200000061,CI,2012.000000,61.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,1.000000,Centre,GPS,U,6.800891,-5.274986,9999.000000,225.000000,WGS84,CI201200000061,CI,2012,61,IV,NULL,NULL,NULL,NULL,9999,NULL,1,Centre,GPS,U,6.800891,-5.274986,9999,225,WGS84
CI201200000062,CI,2012.000000,62.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,10.000000,Sud-Ouest,GPS,R,4.494208,-7.541234,9999.000000,6.000000,WGS84,CI201200000062,CI,2012,62,IV,NULL,NULL,NULL,NULL,9999,NULL,10,Sud-Ouest,GPS,R,4.494208,-7.541234,9999,6,WGS84
CI201200000063,CI,2012.000000,63.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,11.000000,Ville D'Abidjan,GAZ,U,5.353508,-4.072035,9999.000000,48.000000,WGS84,CI201200000063,CI,2012,63,IV,NULL,NULL,NULL,NULL,9999,NULL,11,Ville D'Abidjan,GAZ,U,5.353508,-4.072035,9999,48,WGS84
CI201200000064,CI,2012.000000,64.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,1.000000,Centre,GPS,R,6.823671,-5.436961,9999.000000,165.000000,WGS84,CI201200000064,CI,2012,64,IV,NULL,NULL,NULL,NULL,9999,NULL,1,Centre,GPS,R,6.823671,-5.436961,9999,165,WGS84
CI201200000065,CI,2012.000000,65.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,2.000000,Centre-Est,GPS,R,6.903736,-3.456717,9999.000000,203.000000,WGS84,CI201200000065,CI,2012,65,IV,NULL,NULL,NULL,NULL,9999,NULL,2,Centre-Est,GPS,R,6.903736,-3.456717,9999,203,WGS84
CI201200000066,CI,2012.000000,66.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,4.000000,Centre-Ouest,GPS,R,6.357202,-6.239369,9999.000000,234.000000,WGS84,CI201200000066,CI,2012,66,IV,NULL,NULL,NULL,NULL,9999,NULL,4,Centre-Ouest,GPS,R,6.357202,-6.239369,9999,234,WGS84
CI201200000067,CI,2012.000000,67.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,9.000000,Sud sans Abidjan,GPS,R,5.324231,-3.844620,9999.000000,17.000000,WGS84,CI201200000067,CI,2012,67,IV,NULL,NULL,NULL,NULL,9999,NULL,9,Sud sans Abidjan,GPS,R,5.324231,-3.84462,9999,17,WGS84
CI201200000068,CI,2012.000000,68.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,4.000000,Centre-Ouest,GPS,U,6.132941,-5.976701,9999.000000,200.000000,WGS84,CI201200000068,CI,2012,68,IV,NULL,NULL,NULL,NULL,9999,NULL,4,Centre-Ouest,GPS,U,6.132941,-5.976701,9999,200,WGS84
CI201200000069,CI,2012.000000,69.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,4.000000,Centre-Ouest,GPS,R,6.412359,-5.826287,9999.000000,267.000000,WGS84,CI201200000069,CI,2012,69,IV,NULL,NULL,NULL,NULL,9999,NULL,4,Centre-Ouest,GPS,R,6.412359,-5.826287,9999,267,WGS84
CI201200000070,CI,2012.000000,70.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,10.000000,Sud-Ouest,GPS,R,6.120202,-6.536293,9999.000000,220.000000,WGS84,CI201200000070,CI,2012,70,IV,NULL,NULL,NULL,NULL,9999,NULL,10,Sud-Ouest,GPS,R,6.120202,-6.536293,9999,220,WGS84
CI201200000071,CI,2012.000000,71.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,11.000000,Ville D'Abidjan,GPS,U,5.335063,-4.098226,9999.000000,38.000000,WGS84,CI201200000071,CI,2012,71,IV,NULL,NULL,NULL,NULL,9999,NULL,11,Ville D'Abidjan,GPS,U,5.335063,-4.098226,9999,38,WGS84
CI201200000072,CI,2012.000000,72.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,10.000000,Sud-Ouest,GPS,U,5.416982,-6.542976,9999.000000,137.000000,WGS84,CI201200000072,CI,2012,72,IV,NULL,NULL,NULL,NULL,9999,NULL,10,Sud-Ouest,GPS,U,5.416982,-6.542976,9999,137,WGS84
CI201200000073,CI,2012.000000,73.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,4.000000,Centre-Ouest,GPS,R,6.786519,-6.103139,9999.000000,277.000000,WGS84,CI201200000073,CI,2012,73,IV,NULL,NULL,NULL,NULL,9999,NULL,4,Centre-Ouest,GPS,R,6.786519,-6.103139,9999,277,WGS84
CI201200000074,CI,2012.000000,74.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,3.000000,Centre-Nord,GPS,U,7.701195,-5.038324,9999.000000,357.000000,WGS84,CI201200000074,CI,2012,74,IV,NULL,NULL,NULL,NULL,9999,NULL,3,Centre-Nord,GPS,U,7.701195,-5.038324,9999,357,WGS84
CI201200000075,CI,2012.000000,75.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,9.000000,Sud sans Abidjan,GPS,U,5.498814,-3.665116,9999.000000,14.000000,WGS84,CI201200000075,CI,2012,75,IV,NULL,NULL,NULL,NULL,9999,NULL,9,Sud sans Abidjan,GPS,U,5.498814,-3.665116,9999,14,WGS84
