DHSID,DHSCLUST,ID_1
CI201200000155,155,6
CI201200000156,156,9
CI201200000157,157,14
CI201200000158,158,9
CI201200000159,159,3
CI201200000160,160,9
CI201200000161,161,17
CI201200000162,162,14
CI201200000163,163,5
CI201200000164,164,17
CI201200000165,165,9
CI201200000167,167,17
CI201200000168,168,15
CI201200000169,169,4
CI201200000170,170,2
CI201200000171,171,9
CI201200000172,172,18
CI201200000173,173,14
CI201200000175,175,8
CI201200000177,177,16
CI201200000178,178,2
CI201200000179,179,9
CI201200000180,180,7
CI201200000181,181,18
CI201200000182,182,7
CI201200000183,183,12
CI201200000184,184,12
CI201200000185,185,3
CI201200000187,187,10
CI201200000188,188,5
CI201200000189,189,18
CI201200000190,190,18
CI201200000191,191,3
CI201200000192,192,13
CI201200000193,193,14
CI201200000194,194,9
CI201200000195,195,2
CI201200000196,196,3
CI201200000197,197,19
CI201200000198,198,14
CI201200000199,199,17
CI201200000200,200,12
CI201200000201,201,3
CI201200000202,202,13
CI201200000203,203,9
CI201200000204,204,17
CI201200000205,205,10
CI201200000207,207,3
CI201200000208,208,7
CI201200000209,209,13
CI201200000210,210,9
CI201200000211,211,13
CI201200000212,212,11
CI201200000213,213,12
CI201200000214,214,17
CI201200000215,215,4
CI201200000216,216,2
CI201200000217,217,9
CI201200000218,218,5
CI201200000219,219,19
CI201200000220,220,11
CI201200000221,221,9
CI201200000222,222,5
CI201200000223,223,12
CI201200000224,224,9
CI201200000226,226,11
CI201200000227,227,19
CI201200000228,228,9
CI201200000230,230,1
CI201200000231,231,9
CI201200000232,232,9
CI201200000233,233,3
CI201200000234,234,14
CI201200000235,235,11
CI201200000236,236,14
CI201200000237,237,9
CI201200000238,238,9
CI201200000239,239,9
CI201200000240,240,18
CI201200000241,241,1
CI201200000242,242,19
CI201200000243,243,17
CI201200000244,244,14
CI201200000245,245,12
CI201200000246,246,3
CI201200000247,247,18
CI201200000248,248,13
CI201200000249,249,19
CI201200000250,250,14
CI201200000251,251,12
CI201200000252,252,9
CI201200000253,253,13
CI201200000254,254,17
CI201200000255,255,17
CI201200000256,256,19
CI201200000257,257,7
CI201200000258,258,13
CI201200000259,259,14
CI201200000260,260,9
CI201200000261,261,16
CI201200000262,262,17
CI201200000263,263,8
CI201200000264,264,9
CI201200000265,265,18
CI201200000266,266,13
CI201200000267,267,17
CI201200000268,268,18
CI201200000269,269,9
CI201200000270,270,2
CI201200000271,271,5
CI201200000272,272,6
CI201200000273,273,19
CI201200000274,274,14
CI201200000275,275,15
CI201200000276,276,9
CI201200000277,277,9
CI201200000278,278,4
CI201200000279,279,3
CI201200000280,280,18
CI201200000281,281,18
CI201200000282,282,3
CI201200000283,283,17
CI201200000284,284,9
CI201200000285,285,12
CI201200000286,286,9
CI201200000287,287,18
CI201200000288,288,9
CI201200000289,289,6
CI201200000290,290,14
CI201200000291,291,5
CI201200000292,292,14
CI201200000293,293,12
CI201200000295,295,13
CI201200000296,296,7
CI201200000297,297,5
CI201200000298,298,3
CI201200000299,299,8
CI201200000300,300,11
CI201200000301,301,19
CI201200000302,302,9
CI201200000303,303,9
CI201200000304,304,3
CI201200000305,305,9
CI201200000306,306,12
CI201200000307,307,14
CI201200000308,308,19
CI201200000309,309,14
CI201200000310,310,2
CI201200000311,311,9
CI201200000312,312,12
CI201200000313,313,9
CI201200000314,314,19
CI201200000316,316,17
CI201200000317,317,9
CI201200000318,318,17
CI201200000319,319,10
CI201200000320,320,19
CI201200000321,321,3
CI201200000322,322,17
CI201200000323,323,3
CI201200000324,324,17
CI201200000325,325,7
CI201200000326,326,3
CI201200000327,327,14
CI201200000328,328,14
CI201200000329,329,9
CI201200000331,331,4
CI201200000332,332,10
CI201200000333,333,12
CI201200000334,334,19
CI201200000335,335,9
CI201200000336,336,3
CI201200000337,337,9
CI201200000338,338,1
CI201200000339,339,17
CI201200000340,340,12
CI201200000341,341,12
CI201200000343,343,12
CI201200000344,344,9
CI201200000346,346,19
CI201200000347,347,17
CI201200000348,348,6
CI201200000349,349,8
CI201200000350,350,12
CI201200000351,351,7
CI201200000352,352,17
