DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1FIPS,ADM1FIPSNA,ADM1SALBNA,ADM1SALBCO,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,ID_0,ISO,NAME_0,ID_1,NAME_1,TYPE_1,ENGTYPE_1,NL_NAME_1,VARNAME_1
CI201200000038,CI,2012.000000,38.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,10.000000,Sud-Ouest,GPS,R,5.887836,-6.755626,9999.000000,206.000000,WGS84,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,Région,Region,,Cavally inférieur
CI201200000039,CI,2012.000000,39.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,3.000000,Centre-Nord,GPS,U,8.782206,-5.694593,9999.000000,337.000000,WGS84,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,Région,Region,,
CI201200000040,CI,2012.000000,40.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,8.000000,Ouest,GPS,U,6.544823,-7.486864,9999.000000,219.000000,WGS84,57,CIV,Côte d'Ivoire,11,Moyen-Cavally,Région,Region,,
CI201200000041,CI,2012.000000,41.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,10.000000,Sud-Ouest,GPS,R,5.436679,-6.629985,9999.000000,146.000000,WGS84,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,Région,Region,,Cavally inférieur
CI201200000042,CI,2012.000000,42.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,2.000000,Centre-Est,GPS,R,7.101894,-3.502596,9999.000000,151.000000,WGS84,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,Région,Region,,Comoé central
CI201200000043,CI,2012.000000,43.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,2.000000,Centre-Est,GPS,R,6.981249,-3.417507,9999.000000,292.000000,WGS84,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,Région,Region,,Comoé central
CI201200000044,CI,2012.000000,44.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,8.000000,Ouest,GPS,R,7.209309,-7.861717,9999.000000,306.000000,WGS84,57,CIV,Côte d'Ivoire,5,Dix-Huit Montagnes,Région,Region,,
CI201200000045,CI,2012.000000,45.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,5.000000,Nord,GPS,U,9.472752,-5.640495,9999.000000,390.000000,WGS84,57,CIV,Côte d'Ivoire,14,Savanes,Région,Region,,
CI201200000046,CI,2012.000000,46.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,7.000000,Nord-Ouest,GPS,U,8.075675,-6.179708,9999.000000,335.000000,WGS84,57,CIV,Côte d'Ivoire,18,Worodougou,Région,Region,,
CI201200000047,CI,2012.000000,47.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,8.000000,Ouest,GPS,R,6.125206,-7.687486,9999.000000,230.000000,WGS84,57,CIV,Côte d'Ivoire,11,Moyen-Cavally,Région,Region,,
CI201200000048,CI,2012.000000,48.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,3.000000,Centre-Nord,GPS,U,7.682816,-5.050195,9999.000000,366.000000,WGS84,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,Région,Region,,
CI201200000049,CI,2012.000000,49.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,7.000000,Nord-Ouest,GPS,R,9.280311,-7.063672,9999.000000,404.000000,WGS84,57,CIV,Côte d'Ivoire,4,Denguélé,Région,Region,,
CI201200000050,CI,2012.000000,50.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,5.000000,Nord,GPS,R,9.188715,-5.571598,9999.000000,350.000000,WGS84,57,CIV,Côte d'Ivoire,14,Savanes,Région,Region,,
CI201200000051,CI,2012.000000,51.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,3.000000,Centre-Nord,GPS,U,7.746292,-5.014304,9999.000000,322.000000,WGS84,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,Région,Region,,
CI201200000052,CI,2012.000000,52.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,5.000000,Nord,GPS,U,10.475819,-6.390511,9999.000000,363.000000,WGS84,57,CIV,Côte d'Ivoire,14,Savanes,Région,Region,,
CI201200000053,CI,2012.000000,53.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,9.000000,Sud sans Abidjan,GPS,R,5.443626,-5.603337,9999.000000,113.000000,WGS84,57,CIV,Côte d'Ivoire,15,Sud-Bandama,Région,Region,,
CI201200000054,CI,2012.000000,54.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,8.000000,Ouest,GPS,U,7.396489,-7.579535,9999.000000,329.000000,WGS84,57,CIV,Côte d'Ivoire,5,Dix-Huit Montagnes,Région,Region,,
CI201200000055,CI,2012.000000,55.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,11.000000,Ville D'Abidjan,GPS,U,5.344163,-4.029635,9999.000000,43.000000,WGS84,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,
CI201200000056,CI,2012.000000,56.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,2.000000,Centre-Est,GPS,R,6.161920,-3.265305,9999.000000,167.000000,WGS84,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,Région,Region,,Comoé central
CI201200000057,CI,2012.000000,57.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,10.000000,Sud-Ouest,GPS,R,5.358413,-7.321641,9999.000000,124.000000,WGS84,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,Région,Region,,Cavally inférieur
CI201200000058,CI,2012.000000,58.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,11.000000,Ville D'Abidjan,GPS,U,5.358759,-4.074572,9999.000000,55.000000,WGS84,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,
CI201200000059,CI,2012.000000,59.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,3.000000,Centre-Nord,GPS,R,8.359189,-4.345620,9999.000000,226.000000,WGS84,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,Région,Region,,
CI201200000060,CI,2012.000000,60.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,3.000000,Centre-Nord,GAZ,U,7.702682,-5.031066,9999.000000,353.000000,WGS84,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,Région,Region,,
CI201200000061,CI,2012.000000,61.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,1.000000,Centre,GPS,U,6.800891,-5.274986,9999.000000,225.000000,WGS84,57,CIV,Côte d'Ivoire,8,Lacs,Région,Region,,
CI201200000062,CI,2012.000000,62.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,10.000000,Sud-Ouest,GPS,R,4.494208,-7.541234,9999.000000,6.000000,WGS84,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,Région,Region,,Cavally inférieur
CI201200000063,CI,2012.000000,63.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,11.000000,Ville D'Abidjan,GAZ,U,5.353508,-4.072035,9999.000000,48.000000,WGS84,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,
CI201200000064,CI,2012.000000,64.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,1.000000,Centre,GPS,R,6.823671,-5.436961,9999.000000,165.000000,WGS84,57,CIV,Côte d'Ivoire,8,Lacs,Région,Region,,
CI201200000065,CI,2012.000000,65.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,2.000000,Centre-Est,GPS,R,6.903736,-3.456717,9999.000000,203.000000,WGS84,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,Région,Region,,Comoé central
CI201200000066,CI,2012.000000,66.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,4.000000,Centre-Ouest,GPS,R,6.357202,-6.239369,9999.000000,234.000000,WGS84,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,Région,Region,,Sassandra supérieur
CI201200000067,CI,2012.000000,67.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,9.000000,Sud sans Abidjan,GPS,R,5.324231,-3.844620,9999.000000,17.000000,WGS84,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,
CI201200000068,CI,2012.000000,68.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,4.000000,Centre-Ouest,GPS,U,6.132941,-5.976701,9999.000000,200.000000,WGS84,57,CIV,Côte d'Ivoire,6,Fromager,Région,Region,,
CI201200000069,CI,2012.000000,69.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,4.000000,Centre-Ouest,GPS,R,6.412359,-5.826287,9999.000000,267.000000,WGS84,57,CIV,Côte d'Ivoire,6,Fromager,Région,Region,,
CI201200000070,CI,2012.000000,70.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,10.000000,Sud-Ouest,GPS,R,6.120202,-6.536293,9999.000000,220.000000,WGS84,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,Région,Region,,Cavally inférieur
CI201200000071,CI,2012.000000,71.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,11.000000,Ville D'Abidjan,GPS,U,5.335063,-4.098226,9999.000000,38.000000,WGS84,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,
CI201200000072,CI,2012.000000,72.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,10.000000,Sud-Ouest,GPS,U,5.416982,-6.542976,9999.000000,137.000000,WGS84,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,Région,Region,,Cavally inférieur
CI201200000073,CI,2012.000000,73.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,4.000000,Centre-Ouest,GPS,R,6.786519,-6.103139,9999.000000,277.000000,WGS84,57,CIV,Côte d'Ivoire,10,Marahoué,Région,Region,,
CI201200000074,CI,2012.000000,74.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,3.000000,Centre-Nord,GPS,U,7.701195,-5.038324,9999.000000,357.000000,WGS84,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,Région,Region,,
CI201200000075,CI,2012.000000,75.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,9.000000,Sud sans Abidjan,GPS,U,5.498814,-3.665116,9999.000000,14.000000,WGS84,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,
CI201200000076,CI,2012.000000,76.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,11.000000,Ville D'Abidjan,GAZ,U,5.336269,-4.083564,9999.000000,48.000000,WGS84,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,
CI201200000077,CI,2012.000000,77.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,3.000000,Centre-Nord,GPS,R,8.095853,-4.456761,9999.000000,241.000000,WGS84,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,Région,Region,,
CI201200000078,CI,2012.000000,78.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,4.000000,Centre-Ouest,GPS,U,6.142045,-5.852592,9999.000000,212.000000,WGS84,57,CIV,Côte d'Ivoire,6,Fromager,Région,Region,,
