CT,field_2,field_3,O_Area_km2,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,TYPE_3,ENGTYPE_3,NL_NAME_3,VARNAME_3,P_Area_km2
569,-5.35869,6.14902,263.81797,57,CIV,Côte d'Ivoire,15,Sud-Bandama,38,Divo,131,Divo,Sous-préfecture,Sub-prefecture,,,124.22031
569,-5.35869,6.14902,263.81797,57,CIV,Côte d'Ivoire,15,Sud-Bandama,38,Divo,134,Hire,Sous-préfecture,Sub-prefecture,,,113.72582
569,-5.35869,6.14902,263.81797,57,CIV,Côte d'Ivoire,15,Sud-Bandama,39,Lakota,136,Zikisso,Sous-préfecture,Sub-prefecture,,,22.4428
621,-5.45356,6.60173,295.43285,57,CIV,Côte d'Ivoire,8,Lacs,19,Yamoussoukro,67,Yamoussoukro,Sous-préfecture,Sub-prefecture,,,29.40501
621,-5.45356,6.60173,295.43285,57,CIV,Côte d'Ivoire,6,Fromager,14,Oumé,54,Oume,Sous-préfecture,Sub-prefecture,,,251.82351
621,-5.45356,6.60173,295.43285,57,CIV,Côte d'Ivoire,10,Marahoué,24,Sinfra,83,Sinfra,Sous-préfecture,Sub-prefecture,,,14.20433
1229,-4.05858,5.33874,0.29238,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,0.29238
486,-6.6443,5.24334,161.73127,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,4,San-Pédro,17,San-Pedro,Sous-préfecture,Sub-prefecture,,,161.57249
486,-6.6443,5.24334,161.73127,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,6,Soubré,22,Meagui (Gnamangui),Sous-préfecture,Sub-prefecture,,,0.15877
1101,-7.68257,8.28643,471.0204,57,CIV,Côte d'Ivoire,2,Bafing,3,Touba,10,Borotou,Sous-préfecture,Sub-prefecture,,,43.35876
1101,-7.68257,8.28643,471.0204,57,CIV,Côte d'Ivoire,2,Bafing,3,Touba,13,Koro,Sous-préfecture,Sub-prefecture,,,40.61712
