DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,All_Population_Density_2000,All_Population_Density_2005,All_Population_Density_2010,All_Population_Density_2015,Aridity,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Global_Human_Footprint,Growing_Season_Length,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Malaria_2000,Malaria_2005,Malaria_2010,Malaria_2015,Nightlights_Composite,Potential_Evapotranspiration,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015
CI201200000128,CIGE61FL,CI,2012,128,CI2012DHS,12418.81348,13787.90234,15547.95313,900.2513874,988.2577763,1097.206406,1237.266798,7817.357143,0.197472791,0.237241904,0.236835917,-9999,3159,3174,3171,3382,3593,3559,3511,46.57142857,10,0,0.156162676,0.644836552,0.422611147,0.421150982,0.398674726,0.335793912,8.700683594,1896.571429,30870.04168,82048.87487,248347.7283,1256,1323,1577,1292,1274,1495,1123,0.07565867900848389,0,2,2,28.19499969,24.45199966,23.48800087,27.02899933,24.54999924,24.69499969,25.81999969,28.39299965,27.3010006,25.02499962,25.16300011,24.63599968,313.9285714,358.6375122,355.1924133,354.8027649,358.9429932,28.53946642,28.26531416,28.23430693,28.56377583
CI201200000129,CIGE61FL,CI,2012,129,CI2012DHS,17775.04297,19734.61914,22253.77734,1288.529454,1414.492976,1570.431093,1770.899333,7931.866667,0.160277096,0.174037822,0.187298012,-9999,4127,4042,4093,4183,4422,4415,4449,50.93333333,12.0,0,0.110232163,0.551110562,0.555383086,0.530067027,0.473280311,0.361920714,1.640551551,1667.6,72619.24834,74670.4596,86364.47398,1458,1326,1517,1192,1317,1624,1141,0.11966931025187175,0,0,2,27.92399979,24.58800125,26.7519989,27.94599915,26.70899963,25.13199997,26.22699928,28.12400055,27.38699913,27.02700043,26.2840004,25.60200119,53.4,1026.484863,1070.129883,1125.207764,1198.195313,81.68506998,85.15823031,89.54118882,95.34935343
CI201200000130,CIGE61FL,CI,2012,130,CI2012DHS,14066.22754,15616.93262,17610.46094,40.78696054,44.77419287,49.71024045,56.05583817,8093.637097,0.000720664,0.002681991,0.005407849,-9999,4181.222222,4322.111111,4542.222222,4540.555556,4700,4596.888889,4636,29.02956989,12.0,0,0.074964241,0.659622578,0.585521017,0.596946444,0.508801835,0.418254784,0,1730.629032,128421.6983,13949.40623,137377.0622,1790.1,1264.4,1650.8,1673.2,1431.7,2136,1422.2,0.5238076897077663,0,0,0,26.84333293,24.11666616,24.83666738,26.66233317,25.3169988,24.15600077,25.32466634,26.97666677,26.35633341,25.54199982,25.32566833,24.8743337,275.7177419,12744.61816,15217.65039,18455.45898,22819.1875,40.56737956,48.43928564,58.74555047,72.63572976
CI201200000131,CIGE61FL,CI,2012,131,CI2012DHS,36005.80078,39975.19531,45078.09766,2610.094129,2865.250587,3181.124967,3587.201034,8772.4375,0.361383533,0.365151437,0.372703139,-9999,4287,4287,4476,4290,4203,4270,4261,73.25,12,0,0.058754418,0.352590391,0.440485656,0.491041481,0.407510251,0.287785262,5.701329281,1612.9375,77573.28992,57919.40176,65181.34824,1099,1088,1349,1167,1314,1529,1045,0.1123703345656395,2,2,3,28.04000092,24.54100037,27.0739994,27.84499931,26.77499962,25.30999947,26.38500023,28.07299995,27.39500046,27.23999977,26.35599899,25.59200096,23.375,1276.695557,1324.905029,1386.740234,1469.976074,101.5962044,105.4325922,110.3532815,116.9769792
CI201200000132,CIGE61FL,CI,2012,132,CI2012DHS,4522.485352,5021.058594,5662.005859,13.11356843,14.39551798,15.9825259,18.02272441,6618.76087,0.000231718,0.00029612,0.006220937,5,2866,2928.7,3057.8,3159.8,3364.3,3329.1,3304.2,26.23369565,9.0,0,0.076420908,0.617645586,0.433773756,0.40357706,0.358765036,0.210328892,0.229664991,1851.309783,48031.05293,143272.0765,200594.4414,1247.888889,1198.333333,1289.666667,1318.888889,1025.666667,1261,912.7777778,0.2849454465119735,0,0,0,28.87924957,25.36449814,25.52500153,27.98250008,25.97975159,25.62225151,26.5652504,29.10275078,28.0217514,26.79125023,26.4422493,25.61725044,178.7119565,6624.500488,8035.542969,9831.212891,12182.64063,21.08643996,25.57792768,31.29372256,38.77854952
CI201200000133,CIGE61FL,CI,2012,133,CI2012DHS,16902.12109,18765.46484,21160.90625,49.01002398,53.8011224,59.73232977,67.3572566,6805.77748,0.003167426,0.003656509,0.010356735,-9999,4245.7,4326.2,4272.8,4554.8,4975.9,5160.3,5140.7,23.88203753,11.0,0,0.136184584,0.630014427,0.637364006,0.576898829,0.472591527,0.405768267,0.005062839,1692.52815,11504.64679,83108.75253,163448.2172,1377.222222,980,1294.333333,989,1088.111111,1337.555556,845.2222222,0.2855112929766044,0,0,1,27.39399974,24.05500031,26.02833303,27.76633453,26.39033254,24.42333476,25.51899974,27.97833252,26.82733409,26.31466675,25.60233307,24.804334,214.4021448,15888.77344,16707.83984,17734.39063,19079.41602,50.57553665,53.18270598,56.45031863,60.73166742
CI201200000134,CIGE61FL,CI,2012,134,CI2012DHS,19209.06641,21326.73242,24049.12891,1392.483122,1528.608936,1697.127442,1913.768872,6552.571429,0.483621915,0.530624151,0.559209545,-9999,4071,4116,4164,4004,4246,4194,4243,53.14285714,12.0,0,0.050915635,0.371242456,0.488844097,0.422146648,0.44415167,0.249031484,28.20429891,1713.785714,184871.0786,20785.1697,18401.93016,1354,910,1292,1001,1048,1350,888,0.24327717508588517,3,3,3,27.95800018,25.1060009,25.61600113,28.15699959,26.52300072,25.27099991,26.125,28.31100082,27.18499947,26.22400093,26.11000061,25.5890007,3.285714286,2756.455566,2990.037354,3271.254395,3624.579346,219.3517644,237.9396125,260.3181535,288.4348598
CI201200000135,CIGE61FL,CI,2012,135,CI2012DHS,22383.73828,24851.39258,28023.71875,1622.618217,1781.241296,1977.610986,2230.056681,7803.333333,0.392095016,0.445641408,0.44986072,-9999,3159,3174,3171,3382,3593,3559,3511,49.53333333,10,0,0.156162676,0.644836552,0.422611147,0.421150982,0.398674726,0.335793912,14.38504537,1894.733333,32769.36599,82910.68861,249667.277,1256,1323,1577,1292,1274,1495,1123,0.06424041986465454,2,2,2,28.19499969,24.45199966,23.48800087,27.02899933,24.54999924,24.69499969,25.81999969,28.39299965,27.3010006,25.02499962,25.16300011,24.63599968,311.2,384.2541809,380.5630188,380.1455078,384.5815125,30.57797615,30.2842428,30.25101833,30.60402437
CI201200000136,CIGE61FL,CI,2012,136,CI2012DHS,240857.6875,267410.5938,301546,17459.99978,19166.84577,21279.85892,23996.26823,11884.1875,0.909872293,0.928274473,0.939035575,-9999,2940,2851,2826,2936,3009,2948,2947,79.8125,12,0,0.008412286,0.197319439,0.359245837,0.52486974,0.313546419,0.284966022,19.09016927,1472.75,18041.14297,1988.594406,11096.09621,1538,1463,1762,1626,1662,1937,1485,0.020267944782972336,3,3,3,27.95199966,24.26399994,27.02600098,27.55999947,26.7689991,24.9260006,26.17000008,27.81399918,27.36499977,27.18000031,26.10499954,25.11000061,12.75,183119.0938,202555.3281,225977.8125,255324.4063,14572.15448,16118.84086,17982.74294,20318.07068
CI201200000137,CIGE61FL,CI,2012,137,CI2012DHS,31439.79883,34905.82031,39361.61328,2279.100494,2501.899697,2777.716923,3132.297661,7762.866667,0.673556475,0.779148689,0.786713967,-9999,3936,3891,3976,4043,4128,4294,4237,53.93333333,12,0,0.073272701,0.420433927,0.4980748,0.443675011,0.393160909,0.308771402,7.602634061,1673.6,26892.69406,42604.57966,94134.83342,1316,1082,1480,1029,1140,1500,1005,0.4256368319193522,3,3,3,27.64999962,24.29000092,26.41499901,27.71000099,26.51499939,24.72500038,25.85300064,27.90999985,27.00799942,26.64800072,26.02600098,25.27099991,2.866666667,1799.765381,1926.474976,2079.800781,2273.972412,143.2207784,153.3040076,165.5052875,180.9569749
