ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,TYPE_3,ENGTYPE_3,NL_NAME_3,VARNAME_3,NUMPOINTS
57,CIV,Côte d'Ivoire,15,Sud-Bandama,39,Lakota,136,Zikisso,Sous-préfecture,Sub-prefecture,,,1
57,CIV,Côte d'Ivoire,16,Sud-Comoé,40,Aboisso,137,Aboisso,Sous-préfecture,Sub-prefecture,,,9
57,CIV,Côte d'Ivoire,16,Sud-Comoé,40,Aboisso,138,Adiake,Sous-préfecture,Sub-prefecture,,,4
57,CIV,Côte d'Ivoire,16,Sud-Comoé,40,Aboisso,139,Ayame,Sous-préfecture,Sub-prefecture,,,10
57,CIV,Côte d'Ivoire,16,Sud-Comoé,40,Aboisso,140,Mafere,Sous-préfecture,Sub-prefecture,,,10
57,CIV,Côte d'Ivoire,16,Sud-Comoé,40,Aboisso,141,Tiapoum,Sous-préfecture,Sub-prefecture,,,6
57,CIV,Côte d'Ivoire,17,Vallée du Bandama,41,Béoumi,142,Beoumi,Sous-préfecture,Sub-prefecture,,,2
57,CIV,Côte d'Ivoire,17,Vallée du Bandama,41,Béoumi,143,Bodokro,Sous-préfecture,Sub-prefecture,,,3
57,CIV,Côte d'Ivoire,17,Vallée du Bandama,42,Bouaké,144,Botro,Sous-préfecture,Sub-prefecture,,,1
57,CIV,Côte d'Ivoire,17,Vallée du Bandama,42,Bouaké,145,Bouake,Sous-préfecture,Sub-prefecture,,,19
57,CIV,Côte d'Ivoire,17,Vallée du Bandama,42,Bouaké,146,Brobo,Sous-préfecture,Sub-prefecture,,,1
57,CIV,Côte d'Ivoire,17,Vallée du Bandama,42,Bouaké,147,Diabo,Sous-préfecture,Sub-prefecture,,,2
57,CIV,Côte d'Ivoire,17,Vallée du Bandama,42,Bouaké,148,Djebonoua,Sous-préfecture,Sub-prefecture,,,2
57,CIV,Côte d'Ivoire,17,Vallée du Bandama,43,Dabakala,149,Bassawa,Sous-préfecture,Sub-prefecture,,,1
57,CIV,Côte d'Ivoire,17,Vallée du Bandama,43,Dabakala,150,Bonieredougou,Sous-préfecture,Sub-prefecture,,,1
57,CIV,Côte d'Ivoire,17,Vallée du Bandama,43,Dabakala,151,Dabakala,Sous-préfecture,Sub-prefecture,,,1
57,CIV,Côte d'Ivoire,17,Vallée du Bandama,43,Dabakala,152,Foumbolo,Sous-préfecture,Sub-prefecture,,,0
57,CIV,Côte d'Ivoire,17,Vallée du Bandama,43,Dabakala,153,Santama-Sokoro,Sous-préfecture,Sub-prefecture,,,1
57,CIV,Côte d'Ivoire,17,Vallée du Bandama,43,Dabakala,154,Satama-Sokoura,Sous-préfecture,Sub-prefecture,,,1
57,CIV,Côte d'Ivoire,17,Vallée du Bandama,44,Katiola,155,Fronan,Sous-préfecture,Sub-prefecture,,,2
57,CIV,Côte d'Ivoire,17,Vallée du Bandama,44,Katiola,156,Katiola,Sous-préfecture,Sub-prefecture,,,3
57,CIV,Côte d'Ivoire,17,Vallée du Bandama,44,Katiola,157,Niakarmadougou,Sous-préfecture,Sub-prefecture,,,1
57,CIV,Côte d'Ivoire,17,Vallée du Bandama,44,Katiola,158,Tafiere,Sous-préfecture,Sub-prefecture,,,3
57,CIV,Côte d'Ivoire,17,Vallée du Bandama,44,Katiola,159,Tortiya,Sous-préfecture,Sub-prefecture,,,1
57,CIV,Côte d'Ivoire,17,Vallée du Bandama,45,Sakassou,160,Sakassou,Sous-préfecture,Sub-prefecture,,,4
57,CIV,Côte d'Ivoire,18,Worodougou,46,Mankono,161,Dianra,Sous-préfecture,Sub-prefecture,,,2
57,CIV,Côte d'Ivoire,18,Worodougou,46,Mankono,162,Kongasso,Sous-préfecture,Sub-prefecture,,,1
57,CIV,Côte d'Ivoire,18,Worodougou,46,Mankono,163,Kounahiri,Sous-préfecture,Sub-prefecture,,,1
57,CIV,Côte d'Ivoire,18,Worodougou,46,Mankono,164,Mankono,Sous-préfecture,Sub-prefecture,,,3
57,CIV,Côte d'Ivoire,18,Worodougou,46,Mankono,165,Sarhala,Sous-préfecture,Sub-prefecture,,,1
57,CIV,Côte d'Ivoire,18,Worodougou,46,Mankono,166,Tieningboue,Sous-préfecture,Sub-prefecture,,,4
57,CIV,Côte d'Ivoire,18,Worodougou,47,Séguéla,167,Djibrosso,Sous-préfecture,Sub-prefecture,,,2
57,CIV,Côte d'Ivoire,18,Worodougou,47,Séguéla,168,Dualla,Sous-préfecture,Sub-prefecture,,,1
57,CIV,Côte d'Ivoire,18,Worodougou,47,Séguéla,169,Kani,Sous-préfecture,Sub-prefecture,,,1
57,CIV,Côte d'Ivoire,18,Worodougou,47,Séguéla,170,Massala,Sous-préfecture,Sub-prefecture,,,1
57,CIV,Côte d'Ivoire,18,Worodougou,47,Séguéla,171,Morondo,Sous-préfecture,Sub-prefecture,,,2
57,CIV,Côte d'Ivoire,18,Worodougou,47,Séguéla,172,Seguela,Sous-préfecture,Sub-prefecture,,,3
57,CIV,Côte d'Ivoire,18,Worodougou,47,Séguéla,173,Sifie,Sous-préfecture,Sub-prefecture,,,1
57,CIV,Côte d'Ivoire,18,Worodougou,47,Séguéla,174,Worofla,Sous-préfecture,Sub-prefecture,,,1
57,CIV,Côte d'Ivoire,19,Zanzan,48,Bondoukou,175,Bondoukou,Sous-préfecture,Sub-prefecture,,,14
57,CIV,Côte d'Ivoire,19,Zanzan,48,Bondoukou,176,Sandegue,Sous-préfecture,Sub-prefecture,,,2
57,CIV,Côte d'Ivoire,19,Zanzan,49,Bouna,177,Bouna,Sous-préfecture,Sub-prefecture,,,2
57,CIV,Côte d'Ivoire,19,Zanzan,49,Bouna,178,Dropo,Sous-préfecture,Sub-prefecture,,,1
57,CIV,Côte d'Ivoire,19,Zanzan,49,Bouna,179,Nassian,Sous-préfecture,Sub-prefecture,,,1
57,CIV,Côte d'Ivoire,19,Zanzan,49,Bouna,180,Tehini,Sous-préfecture,Sub-prefecture,,,0
57,CIV,Côte d'Ivoire,19,Zanzan,50,Tanda,181,Assuefry,Sous-préfecture,Sub-prefecture,,,2
57,CIV,Côte d'Ivoire,19,Zanzan,50,Tanda,182,Kouassi-Datekro,Sous-préfecture,Sub-prefecture,,,2
57,CIV,Côte d'Ivoire,19,Zanzan,50,Tanda,183,Koun-Fao,Sous-préfecture,Sub-prefecture,,,5
57,CIV,Côte d'Ivoire,19,Zanzan,50,Tanda,184,Tanda,Sous-préfecture,Sub-prefecture,,,6
57,CIV,Côte d'Ivoire,19,Zanzan,50,Tanda,185,Transua,Sous-préfecture,Sub-prefecture,,,1
57,CIV,Côte d'Ivoire,2,Bafing,3,Touba,10,Borotou,Sous-préfecture,Sub-prefecture,,,1
57,CIV,Côte d'Ivoire,2,Bafing,3,Touba,11,Guinteguela,Sous-préfecture,Sub-prefecture,,,0
57,CIV,Côte d'Ivoire,2,Bafing,3,Touba,12,Koonan,Sous-préfecture,Sub-prefecture,,,1
57,CIV,Côte d'Ivoire,2,Bafing,3,Touba,13,Koro,Sous-préfecture,Sub-prefecture,,,2
57,CIV,Côte d'Ivoire,2,Bafing,3,Touba,14,Ouaninou,Sous-préfecture,Sub-prefecture,,,2
57,CIV,Côte d'Ivoire,2,Bafing,3,Touba,15,Touba,Sous-préfecture,Sub-prefecture,,,2
57,CIV,Côte d'Ivoire,2,Bafing,3,Touba,9,Booko,Sous-préfecture,Sub-prefecture,,,1
57,CIV,Côte d'Ivoire,3,Bas-Sassandra,4,San-Pédro,16,Grand-Bereby,Sous-préfecture,Sub-prefecture,,,7
57,CIV,Côte d'Ivoire,3,Bas-Sassandra,4,San-Pédro,17,San-Pedro,Sous-préfecture,Sub-prefecture,,,27
57,CIV,Côte d'Ivoire,3,Bas-Sassandra,5,Sassandra,18,Gueyo,Sous-préfecture,Sub-prefecture,,,4
57,CIV,Côte d'Ivoire,3,Bas-Sassandra,5,Sassandra,19,Sassandra,Sous-préfecture,Sub-prefecture,,,11
57,CIV,Côte d'Ivoire,3,Bas-Sassandra,6,Soubré,20,Buyo,Sous-préfecture,Sub-prefecture,,,9
57,CIV,Côte d'Ivoire,3,Bas-Sassandra,6,Soubré,21,Grand-Zattry,Sous-préfecture,Sub-prefecture,,,7
57,CIV,Côte d'Ivoire,3,Bas-Sassandra,6,Soubré,22,Meagui (Gnamangui),Sous-préfecture,Sub-prefecture,,,13
57,CIV,Côte d'Ivoire,3,Bas-Sassandra,6,Soubré,23,Soubre,Sous-préfecture,Sub-prefecture,,,20
57,CIV,Côte d'Ivoire,3,Bas-Sassandra,7,Tabou,24,Grabo,Sous-préfecture,Sub-prefecture,,,5
57,CIV,Côte d'Ivoire,3,Bas-Sassandra,7,Tabou,25,Tabou,Sous-préfecture,Sub-prefecture,,,3
57,CIV,Côte d'Ivoire,4,Denguélé,8,Odienné,26,Bako,Sous-préfecture,Sub-prefecture,,,1
57,CIV,Côte d'Ivoire,4,Denguélé,8,Odienné,27,Dioulatiedougou,Sous-préfecture,Sub-prefecture,,,0
57,CIV,Côte d'Ivoire,4,Denguélé,8,Odienné,28,Goulia,Sous-préfecture,Sub-prefecture,,,2
57,CIV,Côte d'Ivoire,4,Denguélé,8,Odienné,29,Kaniasso,Sous-préfecture,Sub-prefecture,,,1
57,CIV,Côte d'Ivoire,4,Denguélé,8,Odienné,30,Madinani,Sous-préfecture,Sub-prefecture,,,2
57,CIV,Côte d'Ivoire,4,Denguélé,8,Odienné,31,Minignan,Sous-préfecture,Sub-prefecture,,,1
57,CIV,Côte d'Ivoire,4,Denguélé,8,Odienné,32,Odienne,Sous-préfecture,Sub-prefecture,,,2
