DHSID,DHSCLUST,ID_3
CI201200000177,177,140
CI201200000178,178,15
CI201200000179,179,69
CI201200000180,180,56
CI201200000181,181,166
CI201200000182,182,61
CI201200000183,183,91
CI201200000184,184,91
CI201200000185,185,17
CI201200000187,187,85
CI201200000188,188,48
CI201200000189,189,172
CI201200000190,190,171
CI201200000191,191,19
CI201200000192,192,100
CI201200000193,193,119
CI201200000194,194,68
CI201200000195,195,13
CI201200000196,196,19
CI201200000197,197,175
CI201200000198,198,110
CI201200000199,199,157
CI201200000200,200,91
CI201200000201,201,17
CI201200000202,202,105
CI201200000203,203,70
CI201200000204,204,147
CI201200000205,205,82
CI201200000207,207,17
CI201200000208,208,60
CI201200000209,209,106
CI201200000210,210,68
CI201200000211,211,103
CI201200000212,212,88
CI201200000213,213,93
CI201200000214,214,145
CI201200000215,215,27
CI201200000216,216,12
CI201200000217,217,68
CI201200000218,218,43
CI201200000219,219,185
CI201200000220,220,86
CI201200000221,221,68
CI201200000222,222,45
CI201200000223,223,91
CI201200000224,224,71
CI201200000226,226,87
CI201200000227,227,183
CI201200000228,228,68
CI201200000230,230,6
CI201200000231,231,68
CI201200000232,232,78
CI201200000233,233,23
CI201200000234,234,122
CI201200000235,235,86
CI201200000236,236,122
CI201200000237,237,68
CI201200000238,238,75
CI201200000239,239,68
CI201200000240,240,173
CI201200000241,241,1
CI201200000242,242,183
CI201200000243,243,145
CI201200000244,244,123
CI201200000245,245,91
CI201200000246,246,17
CI201200000247,247,172
CI201200000248,248,99
CI201200000249,249,179
CI201200000250,250,113
CI201200000251,251,91
CI201200000252,252,68
CI201200000253,253,95
CI201200000254,254,142
CI201200000255,255,159
CI201200000256,256,182
CI201200000257,257,61
CI201200000258,258,104
CI201200000259,259,122
CI201200000260,260,68
CI201200000261,261,138
CI201200000262,262,150
CI201200000263,263,64
CI201200000264,264,68
CI201200000265,265,162
CI201200000266,266,102
CI201200000267,267,160
CI201200000268,268,161
CI201200000269,269,68
CI201200000270,270,15
CI201200000271,271,42
CI201200000272,272,53
CI201200000273,273,177
CI201200000274,274,114
CI201200000275,275,135
CI201200000276,276,68
CI201200000277,277,68
CI201200000278,278,37
CI201200000279,279,17
CI201200000280,280,166
CI201200000281,281,166
CI201200000282,282,23
CI201200000283,283,145
CI201200000284,284,68
CI201200000285,285,93
CI201200000286,286,68
CI201200000287,287,169
CI201200000288,288,68
CI201200000289,289,51
CI201200000290,290,113
CI201200000291,291,46
CI201200000292,292,122
CI201200000293,293,91
CI201200000295,295,101
CI201200000296,296,56
CI201200000297,297,44
CI201200000298,298,17
CI201200000299,299,67
CI201200000300,300,90
CI201200000301,301,178
CI201200000302,302,68
CI201200000303,303,68
CI201200000304,304,23
CI201200000305,305,72
CI201200000306,306,91
CI201200000307,307,113
CI201200000308,308,175
CI201200000309,309,127
CI201200000310,310,15
CI201200000311,311,68
CI201200000312,312,94
CI201200000313,313,68
CI201200000314,314,184
CI201200000316,316,142
CI201200000317,317,68
CI201200000318,318,145
CI201200000319,319,85
CI201200000320,320,175
CI201200000321,321,19
CI201200000322,322,160
CI201200000323,323,19
CI201200000324,324,156
CI201200000325,325,56
CI201200000326,326,20
CI201200000327,327,124
CI201200000328,328,107
CI201200000329,329,68
CI201200000331,331,31
CI201200000332,332,81
CI201200000333,333,94
CI201200000334,334,175
CI201200000335,335,68
CI201200000336,336,17
CI201200000337,337,68
CI201200000338,338,4
CI201200000339,339,151
CI201200000340,340,91
CI201200000341,341,94
CI201200000343,343,91
CI201200000344,344,68
CI201200000346,346,184
CI201200000347,347,145
CI201200000348,348,53
CI201200000349,349,67
CI201200000350,350,94
CI201200000351,351,59
CI201200000352,352,145
