ID_2,DHSCLUST,O_Area_km2,P_Area_km2,Proportion
7,27,2150,443,0.20604651162790696
7,159,516,513,0.9941860465116279
7,119,1067,1067,1.0
7,94,1469,622,0.42341729067392786
8,195,2918,234,0.08019191226867718
8,135,794,794,1.0
8,278,3847,3847,1.0
8,331,4772,4772,1.0
8,49,1621,1621,1.0
8,153,2665,2417,0.9069418386491557
8,128,2381,2381,1.0
8,169,1736,1736,1.0
8,144,2228,114,0.05116696588868941
8,198,2942,829,0.28178110129163836
8,190,2539,66,0.02599448601811737
8,215,2876,2150,0.7475660639777468
8,170,2251,733,0.3256330519768992
8,162,2360,917,0.3885593220338983
9,44,782,57,0.07289002557544758
9,235,611,32,0.05237315875613748
9,297,1223,279,0.22812755519215044
9,22,1033,493,0.47725072604065827
9,148,911,7,0.007683863885839737
9,8,1145,407,0.3554585152838428
9,130,1671,575,0.3441053261520048
9,291,899,267,0.29699666295884314
10,222,358,39,0.10893854748603352
10,44,782,9,0.011508951406649617
10,34,975,179,0.1835897435897436
10,163,143,1,0.006993006993006993
10,54,512,19,0.037109375
10,28,966,798,0.8260869565217391
10,240,2626,92,0.035034272658035034
10,270,2139,141,0.06591865357643759
10,216,1389,153,0.1101511879049676
10,188,369,104,0.28184281842818426
10,113,1596,1435,0.8991228070175439
10,117,1877,744,0.3963771976558338
10,310,2073,1022,0.49300530631934397
11,300,435,23,0.052873563218390804
11,44,782,442,0.5652173913043478
11,34,975,18,0.018461538461538463
11,297,1223,432,0.35322976287816843
11,218,376,376,1.0
11,92,588,588,1.0
11,113,1596,152,0.09523809523809523
11,3,811,811,1.0
11,271,631,493,0.7812995245641838
11,127,1199,1199,1.0
12,222,358,319,0.8910614525139665
12,44,782,274,0.35038363171355497
12,34,975,778,0.7979487179487179
12,163,143,142,0.993006993006993
12,54,512,493,0.962890625
12,28,966,169,0.17494824016563146
12,22,1033,534,0.5169409486931268
12,8,1145,1,0.0008733624454148472
12,130,1671,134,0.08019150209455415
12,291,899,632,0.7030033370411568
12,188,369,265,0.7181571815718157
12,113,1596,5,0.003132832080200501
12,10,106,106,1.0
12,257,1570,27,0.017197452229299363
12,117,1877,861,0.45871070857751733
13,208,504,6,0.011904761904761904
13,32,631,4,0.006339144215530904
13,13,1076,16,0.01486988847583643
13,107,868,444,0.511520737327189
13,282,932,27,0.028969957081545063
13,66,579,218,0.3765112262521589
13,69,679,672,0.9896907216494846
13,348,491,65,0.13238289205702647
13,29,499,259,0.5190380761523046
13,122,1622,584,0.3600493218249075
13,68,448,448,1.0
13,155,645,600,0.9302325581395349
13,96,1060,50,0.04716981132075472
13,289,709,707,0.997179125528914
13,78,678,441,0.6504424778761062
14,31,1470,29,0.019727891156462583
14,69,679,4,0.005891016200294551
14,124,1107,616,0.5564588979223125
14,272,1764,1183,0.6706349206349206
14,348,491,426,0.8676171079429735
14,96,1060,86,0.08113207547169811
14,78,678,9,0.01327433628318584
15,123,408,396,0.9705882352941176
15,32,631,334,0.5293185419968305
15,296,540,540,1.0
15,73,773,139,0.17981888745148772
15,36,2043,1204,0.5893294175232501
15,130,1671,383,0.22920406941950927
15,351,814,260,0.3194103194103194
15,332,1151,141,0.12250217202432667
15,180,148,148,1.0
15,33,1557,779,0.5003211303789339
15,187,1316,110,0.08358662613981763
15,100,352,241,0.6846590909090909
15,205,1817,0,0.0
15,125,1319,70,0.05307050796057619
15,325,526,526,1.0
16,208,504,498,0.9880952380952381
16,32,631,201,0.3185419968304279
16,70,530,4,0.007547169811320755
16,13,1076,978,0.9089219330855018
16,220,1938,63,0.032507739938080496
16,66,579,361,0.6234887737478411
16,103,1434,457,0.3186889818688982
16,36,2043,468,0.2290748898678414
16,351,814,554,0.6805896805896806
16,100,352,111,0.3153409090909091
16,289,709,2,0.0028208744710860366
17,123,408,13,0.031862745098039214
17,189,1288,427,0.33152173913043476
17,240,2626,263,0.10015232292460015
17,130,1671,407,0.24356672651107122
17,33,1557,495,0.3179190751445087
17,257,1570,1543,0.9828025477707006
17,117,1877,231,0.12306872669152903
17,265,1483,0,0.0
17,182,2091,1575,0.7532281205164992
17,319,955,27,0.028272251308900525
17,125,1319,1248,0.9461713419257013
