DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1FIPS,ADM1FIPSNA,ADM1SALBNA,ADM1SALBCO,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,VARNAME_3,NL_NAME_3,HASC_3,TYPE_3,ENGTYPE_3,VALIDFR_3,VALIDTO_3,REMARKS_3,Shape_Leng,Shape_Area
SN201200000026,SN,2012.00000000000,26.00000000000,SG,SG03,Diourbel,NULL,NULL,3.00000000000,Diourbel,3.00000000000,Centre,CEN,U,14.66556521900,-16.24097256100,9999.00000000000,11.00000000000,WGS84,194,SEN,Senegal,2632,Diourbel,31081,Diourbel,92470,Ndoulo,,,,Arrondissment,Arrondissement,Unknown,Present,,0.99097803728,0.05459843079
SN201200000027,SN,2012.00000000000,27.00000000000,SG,SG03,Diourbel,NULL,NULL,3.00000000000,Diourbel,3.00000000000,Centre,CEN,R,14.93738520900,-16.02110343000,9999.00000000000,47.00000000000,WGS84,194,SEN,Senegal,2632,Diourbel,31082,Mback�,92472,Ndame,,,,Arrondissment,Arrondissement,Unknown,Present,,1.24122271924,0.08246988484
SN201200000028,SN,2012.00000000000,28.00000000000,SG,SG03,Diourbel,NULL,NULL,3.00000000000,Diourbel,3.00000000000,Centre,CEN,R,14.83028336500,-15.87554962200,9999.00000000000,45.00000000000,WGS84,194,SEN,Senegal,2632,Diourbel,31082,Mback�,92472,Ndame,,,,Arrondissment,Arrondissement,Unknown,Present,,1.24122271924,0.08246988484
SN201200000029,SN,2012.00000000000,29.00000000000,SG,SG03,Diourbel,NULL,NULL,3.00000000000,Diourbel,3.00000000000,Centre,CEN,R,14.91256772200,-15.88176748400,9999.00000000000,47.00000000000,WGS84,194,SEN,Senegal,2632,Diourbel,31082,Mback�,92472,Ndame,,,,Arrondissment,Arrondissement,Unknown,Present,,1.24122271924,0.08246988484
SN201200000030,SN,2012.00000000000,30.00000000000,SG,SG03,Diourbel,NULL,NULL,3.00000000000,Diourbel,3.00000000000,Centre,CEN,R,14.87992498300,-15.89828492200,9999.00000000000,47.00000000000,WGS84,194,SEN,Senegal,2632,Diourbel,31082,Mback�,92472,Ndame,,,,Arrondissment,Arrondissement,Unknown,Present,,1.24122271924,0.08246988484
SN201200000031,SN,2012.00000000000,31.00000000000,SG,SG03,Diourbel,NULL,NULL,3.00000000000,Diourbel,3.00000000000,Centre,CEN,R,14.86307271700,-15.89061061800,9999.00000000000,48.00000000000,WGS84,194,SEN,Senegal,2632,Diourbel,31082,Mback�,92472,Ndame,,,,Arrondissment,Arrondissement,Unknown,Present,,1.24122271924,0.08246988484
SN201200000032,SN,2012.00000000000,32.00000000000,SG,SG03,Diourbel,NULL,NULL,3.00000000000,Diourbel,3.00000000000,Centre,CEN,R,14.83486869600,-15.84481791100,9999.00000000000,50.00000000000,WGS84,194,SEN,Senegal,2632,Diourbel,31082,Mback�,92472,Ndame,,,,Arrondissment,Arrondissement,Unknown,Present,,1.24122271924,0.08246988484
SN201200000033,SN,2012.00000000000,33.00000000000,SG,SG03,Diourbel,NULL,NULL,3.00000000000,Diourbel,3.00000000000,Centre,CEN,R,14.86202141300,-15.83604170000,9999.00000000000,54.00000000000,WGS84,194,SEN,Senegal,2632,Diourbel,31082,Mback�,92472,Ndame,,,,Arrondissment,Arrondissement,Unknown,Present,,1.24122271924,0.08246988484
SN201200000034,SN,2012.00000000000,34.00000000000,SG,SG03,Diourbel,NULL,NULL,3.00000000000,Diourbel,3.00000000000,Centre,CEN,U,14.77979656700,-15.90396216200,9999.00000000000,40.00000000000,WGS84,194,SEN,Senegal,2632,Diourbel,31082,Mback�,92472,Ndame,,,,Arrondissment,Arrondissement,Unknown,Present,,1.24122271924,0.08246988484
SN201200000035,SN,2012.00000000000,35.00000000000,SG,SG03,Diourbel,NULL,NULL,3.00000000000,Diourbel,3.00000000000,Centre,CEN,U,14.80802399900,-15.89992853600,9999.00000000000,43.00000000000,WGS84,194,SEN,Senegal,2632,Diourbel,31082,Mback�,92472,Ndame,,,,Arrondissment,Arrondissement,Unknown,Present,,1.24122271924,0.08246988484
