ID_3,DHSCLUST,O_Area_km2,P_Area_km2,Proportion
16,298,297,69,0.23232323232323232
16,111,1289,959,0.7439875872769589
16,246,422,4,0.009478672985781991
16,201,991,328,0.33097880928355194
16,57,2165,5,0.0023094688221709007
16,159,516,3,0.005813953488372093
16,207,206,110,0.5339805825242718
16,94,1469,847,0.5765827093260721
17,279,186,186,1.0
17,298,297,228,0.7676767676767676
17,246,422,418,0.990521327014218
17,201,991,663,0.669021190716448
17,196,961,82,0.08532778355879292
17,14,498,351,0.7048192771084337
17,121,51,51,1.0
17,185,755,732,0.9695364238410596
17,336,723,723,1.0
17,57,2165,21,0.009699769053117783
17,27,2150,514,0.23906976744186045
17,41,828,226,0.27294685990338163
17,72,651,143,0.2196620583717358
17,191,1171,0,0.0
17,207,206,95,0.46116504854368934
18,282,932,75,0.08047210300429185
18,122,1622,218,0.1344019728729963
18,321,1416,368,0.2598870056497175
19,282,932,14,0.015021459227467811
19,196,961,879,0.9146722164412071
19,14,498,147,0.29518072289156627
19,122,1622,33,0.020345252774352653
19,185,755,23,0.030463576158940398
19,72,651,65,0.09984639016897082
19,323,1375,781,0.568
19,191,1171,1170,0.9991460290350128
19,321,1416,1017,0.7182203389830508
19,53,2098,173,0.08245948522402288
20,326,2110,893,0.42322274881516586
20,220,1938,410,0.21155830753353974
20,103,1434,850,0.592747559274756
20,36,2043,2,0.0009789525208027412
20,233,475,15,0.031578947368421054
20,38,782,387,0.4948849104859335
21,70,530,501,0.9452830188679245
21,13,1076,82,0.0762081784386617
21,103,1434,128,0.08926080892608089
21,29,499,182,0.36472945891783565
21,233,475,156,0.32842105263157895
21,38,782,8,0.010230179028132993
22,304,263,88,0.33460076045627374
22,326,2110,62,0.029383886255924172
22,282,932,20,0.02145922746781116
22,27,2150,928,0.4316279069767442
22,41,828,602,0.7270531400966184
22,72,651,423,0.6497695852534562
22,12,520,304,0.5846153846153846
22,38,782,292,0.3734015345268542
23,304,263,175,0.6653992395437263
23,70,530,26,0.04905660377358491
23,107,868,425,0.48963133640552997
23,282,932,796,0.8540772532188842
23,196,961,0,0.0
23,29,499,59,0.11823647294589178
23,72,651,19,0.029185867895545316
23,12,520,216,0.4153846153846154
23,233,475,304,0.64
23,38,782,96,0.12276214833759591
23,321,1416,21,0.014830508474576272
24,111,1289,221,0.17145073700543056
24,104,618,80,0.12944983818770225
24,57,2165,1846,0.8526558891454965
24,27,2150,443,0.20604651162790696
24,119,1067,1058,0.9915651358950328
24,94,1469,622,0.42341729067392786
25,111,1289,109,0.08456167571761056
25,104,618,538,0.8705501618122977
25,62,422,422,1.0
25,159,516,513,0.9941860465116279
25,119,1067,9,0.008434864104967198
26,195,2918,61,0.020904729266620972
26,128,2381,140,0.05879882402351953
26,169,1736,701,0.40380184331797236
26,215,2876,867,0.3014603616133519
26,170,2251,733,0.3256330519768992
27,195,2918,173,0.0592871830020562
27,49,1621,142,0.08760024676125848
27,169,1736,208,0.11981566820276497
27,215,2876,1118,0.38873435326842837
28,135,794,1,0.0012594458438287153
28,278,3847,1783,0.4634780348323369
28,331,4772,46,0.009639564124056999
28,198,2942,332,0.11284840244731476
28,162,2360,917,0.3885593220338983
29,135,794,68,0.08564231738035265
29,278,3847,138,0.035872108136210036
29,331,4772,526,0.11022632020117351
30,135,794,120,0.15113350125944586
30,278,3847,183,0.04756953470236548
30,331,4772,11,0.0023051131601005866
30,153,2665,2167,0.8131332082551594
30,169,1736,35,0.020161290322580645
30,198,2942,497,0.16893269884432358
31,278,3847,235,0.06108656095658955
31,331,4772,1689,0.35393964794635374
32,135,794,506,0.6372795969773299
32,331,4772,1818,0.3809723386420788
32,128,2381,1448,0.6081478370432591
32,169,1736,408,0.2350230414746544
33,331,4772,199,0.04170159262363789
34,49,1621,1472,0.9080814312152992
34,153,2665,249,0.09343339587242026
34,169,1736,93,0.05357142857142857
34,144,2228,114,0.05116696588868941
34,190,2539,66,0.02599448601811737
34,215,2876,164,0.05702364394993046
35,331,4772,483,0.10121542330259849
35,128,2381,792,0.33263334733305333
36,135,794,100,0.12594458438287154
36,49,1621,7,0.00431832202344232
36,169,1736,291,0.1676267281105991
37,278,3847,1507,0.3917338185599168
38,44,782,57,0.07289002557544758
38,235,611,32,0.05237315875613748
38,297,1223,279,0.22812755519215044
38,22,1033,493,0.47725072604065827
38,148,911,7,0.007683863885839737
38,8,1145,407,0.3554585152838428
38,130,1671,575,0.3441053261520048
38,291,899,267,0.29699666295884314
39,44,782,9,0.011508951406649617
39,34,975,179,0.1835897435897436
39,163,143,1,0.006993006993006993
39,54,512,19,0.037109375
39,28,966,536,0.5548654244306418
39,240,2626,47,0.0178979436405179
39,270,2139,141,0.06591865357643759
39,113,1596,876,0.5488721804511278
39,117,1877,100,0.05327650506126798
39,310,2073,531,0.25615050651230103
